Time,GyroX 
50.3,76.4400024414062
50.31,53.060001373291
50.32,19.6000003814697
50.33,-9.34000015258789
50.34,-47.2500038146973
50.35,-86.0600051879883
50.36,-125.26000213623
50.37,-147
50.38,-159.530014038086
50.39,-173.770004272461
50.4,-190.260009765625
50.409,-203.420013427734
50.419,-216.68000793457
50.429,-218.890014648438
50.439,-211.080017089844
50.449,-226.380004882812
50.459,-231.630004882812
50.469,-225.890014648438
50.479,-220.950012207031
50.489,-196.000015258789
50.499,-149.130004882812
50.509,-114.410003662109
50.519,-70.4500045776367
50.529,-23.8000011444092
50.539,12.3900003433228
50.549,37.060001373291
50.559,46.930004119873
50.569,36.5
50.579,5.70000028610229
50.589,-15.3300008773804
50.599,-29.7800006866455
50.607,-37.0300025939941
50.617,-36.3600006103516
50.627,-25.9300003051758
50.637,-21.980001449585
50.647,-10.8100004196167
50.657,-1.96000003814697
50.667,23.9400005340576
50.677,47.5300025939941
50.687,73.1500015258789
50.697,86.9000015258789
50.707,96.140007019043
50.717,99.890007019043
50.727,105.770004272461
50.737,126.870002746582
50.747,147.490005493164
50.757,163.59001159668
50.767,165.510009765625
50.777,156.690002441406
50.787,150.150009155273
50.797,135.830001831055
50.801,16.0300006866455
50.811,-1.78000009059906
50.821,-22.0100002288818
50.831,-49.3500022888184
50.841,-76.6800003051758
50.851,-95.0900039672852
50.861,-101.67000579834
50.871,-86.5900039672852
50.881,-69.8600006103516
50.891,-40.3200035095215
50.901,-19.7400016784668
50.911,-6.05000019073486
50.921,0.0700000002980232
50.931,-14.6300010681152
50.941,-46.8600006103516
50.951,-78.7800064086914
50.96,-109.93000793457
50.97,-140.490005493164
50.98,-147.700012207031
50.99,-134.820007324219
51,-107.520004272461
51.01,-88.4800033569336
51.02,-61.560001373291
51.03,-30.9000015258789
51.04,-7.03000020980835
51.05,5.21000003814697
51.06,6.33000040054321
51.07,1.54000008106232
51.08,-1.99000012874603
51.09,-3.01000022888184
51.1,3.64000010490417
51.11,3.50000023841858
51.12,14.0000009536743
51.13,46.0900039672852
51.14,88.5100021362305
51.15,113.190002441406
51.159,137.160003662109
51.169,161.560012817383
51.179,158.550003051758
51.189,170.730010986328
51.199,183.820007324219
51.209,169.470001220703
51.219,145.810012817383
51.229,123.790008544922
51.239,105.210006713867
51.249,96.4900054931641
51.259,77.9800033569336
51.269,50.7100028991699
51.279,27.1600017547607
51.289,14.2400007247925
51.299,-0.350000023841858
51.309,-3.85000014305115
51.319,-20.6100006103516
51.329,-44.5500030517578
51.339,-59.2500038146973
51.349,-56.4500045776367
51.357,-43.7100028991699
51.367,-41.370002746582
51.377,-36.5
51.387,-27.8600006103516
51.397,-11.7200002670288
51.407,20.4700012207031
51.417,37.310001373291
51.427,32.3000030517578
51.437,15.4300003051758
51.447,-4.97000026702881
51.457,-17.0799999237061
51.467,-38.25
51.477,-67.0200042724609
51.487,-109.370002746582
51.497,-142.030014038086
51.507,-156.060012817383
51.517,-157.080001831055
51.527,-162.960006713867
51.537,-171.040008544922
51.547,-176.750015258789
51.552,-116.93000793457
51.562,-114.060005187988
51.572,-99.2600021362305
51.582,-68.9800033569336
51.592,-48.8600006103516
51.602,-42.5200004577637
51.612,-30.730001449585
51.622,-23.4100017547607
51.632,-13.7200002670288
51.642,-17.7100009918213
51.652,-42.9100036621094
51.662,-72.5900039672852
51.672,-103.980003356934
51.682,-119.800003051758
51.692,-139.120010375977
51.702,-160.230010986328
51.71,-164.990005493164
51.72,-156.800003051758
51.73,-121.380004882812
51.74,-75.4200057983398
51.75,-49.1700019836426
51.76,-16.6900005340576
51.77,20.230001449585
51.78,56.870002746582
51.79,79.2000045776367
51.8,78.8200073242188
51.81,72.9700012207031
51.82,78.6100006103516
51.83,92.3300018310547
51.84,106.68000793457
51.85,117.630004882812
51.86,130.200012207031
51.87,154.350006103516
51.88,173.880004882812
51.89,162.010009765625
51.9,135.240005493164
51.909,114.590003967285
51.919,77.7000045776367
51.929,34.5400009155273
51.939,-5.42000007629395
51.949,-35
51.959,-59.3900032043457
51.969,-68.4900054931641
51.979,-65.3800048828125
51.989,-56.2400016784668
51.999,-16.5200004577637
52.009,16.8000011444092
52.019,42.9800033569336
52.029,61.3500022888184
52.039,67.0200042724609
52.049,64.8500061035156
52.059,50.7500038146973
52.069,22.6800003051758
52.079,-23.7600002288818
52.089,-60.6900024414062
52.099,-80.1100006103516
52.107,-103.600006103516
52.117,-134.820007324219
52.127,-145.040008544922
52.137,-137.550003051758
52.147,-142.410003662109
52.157,-128.760009765625
52.167,-109.370002746582
52.177,-92.4000015258789
52.187,-88.2700042724609
52.197,-82.2100067138672
52.207,-77.8400039672852
52.217,-71.4300003051758
52.227,-53.7200012207031
52.237,-34.9600028991699
52.247,-14.9800004959106
52.257,2.73000001907349
52.267,26.1100006103516
52.277,52.2500038146973
52.287,70.7000045776367
52.297,62.370002746582
52.301,-40.6000022888184
52.311,-58.5200042724609
52.321,-66.0400009155273
52.331,-50.7500038146973
52.341,-41.8600006103516
52.351,-17.7800006866455
52.361,28.2100009918213
52.371,52.2200012207031
52.381,54.180004119873
52.391,56.3500022888184
52.401,65.6900024414062
52.411,53.2700042724609
52.421,23.9000015258789
52.431,-12.8800010681152
52.441,-18.3400001525879
52.451,-18.5800018310547
52.46,-29.1500015258789
52.47,-43.6400032043457
52.48,-34.1900024414062
52.49,-14.5900011062622
52.5,-20.3700008392334
52.51,-33.1400032043457
52.52,-18.9700012207031
52.53,0.0300000011920929
52.54,2.80000019073486
52.55,5.14000034332275
52.56,16.310001373291
52.57,29.4700012207031
52.58,24.3200016021729
52.59,16.0300006866455
52.6,14.6600008010864
52.61,34.1900024414062
52.62,32.8300018310547
52.63,3.3600001335144
52.64,-17.5
52.65,-4.13000011444092
52.658,-6.72000026702881
52.668,-20.3000011444092
52.678,-27.5400009155273
52.688,-10.5300006866455
52.698,-8.43000030517578
52.708,-7.94000053405762
52.718,3.46000027656555
52.728,16.7600002288818
52.738,20.8900012969971
52.748,16.4099998474121
52.758,18.4100017547607
52.768,32.620002746582
52.778,33.560001373291
52.788,29.6400012969971
52.798,32.2700004577637
52.808,39.7600021362305
52.818,31.2500019073486
52.828,12.9100008010864
52.838,9.24000072479248
52.848,13.8600006103516
52.857,-2.48000001907349
52.867,-14.0300006866455
52.877,-11.8600006103516
52.887,-6.79000043869019
52.897,-11.2300004959106
52.907,-5.32000017166138
52.917,-1.12000000476837
52.927,4.58000040054321
52.937,10.9200000762939
52.947,15.8500003814697
52.957,25.7200012207031
52.967,21.9100017547607
52.977,15.0800008773804
52.987,17.8500003814697
52.997,26.6000003814697
53.007,18.6200008392334
53.017,16.5500011444092
53.027,26.6700019836426
53.037,32.3000030517578
53.047,21.560001373291
53.051,16.060001373291
53.061,24.5000019073486
